quadro,alvo,x,y
39,"the white cup",592.8,121.9
39,"the coffee dripper",224.7,64.8
40,"the white cup",592.8,120.0
40,"the coffee dripper",244.2,73.9
41,"the white cup",592.8,124.8
41,"the coffee dripper",241.7,73.9
42,"the white cup",592.8,124.8
42,"the coffee dripper",241.7,73.9
43,"the white cup",592.8,122.9
43,"the coffee dripper",241.7,73.9
44,"the white cup",592.8,124.8
44,"the coffee dripper",241.7,70.1
45,"the white cup",592.8,124.8
45,"the coffee dripper",241.7,64.8
46,"the white cup",592.8,124.8
46,"the coffee dripper",224.7,63.8
47,"the white cup",592.8,124.8
47,"the coffee dripper",241.7,73.9
48,"the white cup",592.8,136.8
48,"the coffee dripper",241.7,64.8
49,"the white cup",592.8,127.2
49,"the coffee dripper",241.7,64.8
50,"the white cup",592.8,136.8
50,"the coffee dripper",241.7,73.9
51,"the white cup",592.8,136.8
51,"the coffee dripper",241.7,64.8
52,"the white cup",589.4,135.8
52,"the coffee dripper",241.7,73.9
53,"the white cup",592.8,136.8
53,"the coffee dripper",241.7,73.9
54,"the white cup",592.8,136.8
54,"the coffee dripper",224.7,64.8
55,"the white cup",589.4,136.8
55,"the coffee dripper",244.2,62.9
56,"the white cup",589.4,135.8
56,"the coffee dripper",244.2,63.8
57,"the white cup",589.4,135.8
57,"the coffee dripper",241.7,63.8
58,"the white cup",589.4,135.8
58,"the coffee dripper",244.2,64.8
59,"the white cup",589.4,135.8
59,"the coffee dripper",244.2,64.8
60,"the white cup",592.8,135.8
60,"the coffee dripper",241.7,63.8
61,"the white cup",592.8,134.9
61,"the coffee dripper",241.7,64.8
62,"the white cup",592.8,136.8
62,"the coffee dripper",237.4,73.9
63,"the white cup",592.8,136.8
63,"the coffee dripper",244.2,73.9
64,"the white cup",592.8,136.8
64,"the coffee dripper",241.7,73.9
65,"the white cup",589.4,136.8
65,"the coffee dripper",241.7,73.9
66,"the white cup",592.8,136.8
66,"the coffee dripper",224.7,64.8
67,"the white cup",592.8,136.8
67,"the coffee dripper",224.7,64.8
68,"the white cup",224.7,73.9
68,"the coffee dripper",224.7,73.9
69,"the white cup",224.7,73.9
69,"the coffee dripper",224.7,73.9
70,"the white cup",592.8,124.8
70,"the coffee dripper",237.4,63.8
71,"the white cup",589.4,127.2
71,"the coffee dripper",224.7,64.8
72,"the white cup",592.8,124.8
72,"the coffee dripper",233.2,64.8
73,"the white cup",592.8,121.9
73,"the coffee dripper",224.7,64.8
74,"the white cup",592.8,121.9
74,"the coffee dripper",224.7,64.8
75,"the white cup",592.8,124.8
75,"the coffee dripper",241.7,73.9
76,"the white cup",592.8,127.2
76,"the coffee dripper",224.7,64.8
77,"the white cup",592.8,124.8
77,"the coffee dripper",224.7,64.8
78,"the white cup",589.4,124.8
78,"the coffee dripper",224.7,73.9
79,"the white cup",592.8,124.8
79,"the coffee dripper",241.7,73.9
80,"the white cup",592.8,124.8
80,"the coffee dripper",224.7,64.8
81,"the white cup",592.8,124.8
81,"the coffee dripper",224.7,64.8
82,"the white cup",592.8,124.8
82,"the coffee dripper",224.7,73.9
83,"the white cup",592.8,124.8
83,"the coffee dripper",237.4,73.9
84,"the white cup",589.4,124.8
84,"the coffee dripper",224.7,73.9
85,"the white cup",224.7,73.9
85,"the coffee dripper",241.7,73.9
86,"the white cup",592.8,124.8
86,"the coffee dripper",241.7,73.9
87,"the white cup",592.8,124.8
87,"the coffee dripper",241.7,73.9
88,"the white cup",592.8,124.8
88,"the coffee dripper",241.7,73.9
89,"the white cup",592.8,121.9
89,"the coffee dripper",241.7,73.9
90,"the white cup",592.8,121.9
90,"the coffee dripper",241.7,73.9
91,"the white cup",592.8,121.9
91,"the coffee dripper",237.4,73.9
92,"the white cup",592.8,121.9
92,"the coffee dripper",224.7,70.1
93,"the white cup",592.8,122.9
93,"the coffee dripper",237.4,73.9
94,"the white cup",592.8,121.9
94,"the coffee dripper",224.7,64.8
95,"the white cup",592.8,121.9
95,"the coffee dripper",224.7,62.9
96,"the white cup",592.8,121.9
96,"the coffee dripper",224.7,73.9
97,"the white cup",592.8,121.9
97,"the coffee dripper",224.7,73.9
98,"the white cup",589.4,121.9
98,"the coffee dripper",224.7,70.1
99,"the white cup",589.4,121.9
99,"the coffee dripper",224.7,70.1
100,"the white cup",592.8,120.0
100,"the coffee dripper",241.7,70.1
101,"the white cup",589.4,121.9
101,"the coffee dripper",241.7,70.1
102,"the white cup",589.4,121.9
102,"the coffee dripper",224.7,66.2
103,"the white cup",589.4,121.9
103,"the coffee dripper",224.7,62.9
104,"the white cup",589.4,120.0
104,"the coffee dripper",224.7,62.9
105,"the white cup",589.4,121.9
105,"the coffee dripper",224.7,62.9
106,"the white cup",589.4,120.0
106,"the coffee dripper",224.7,62.9
107,"the white cup",589.4,121.9
107,"the coffee dripper",224.7,63.8
108,"the white cup",589.4,120.0
108,"the coffee dripper",241.7,63.8
109,"the white cup",589.4,114.2
109,"the coffee dripper",241.7,63.8
110,"the white cup",589.4,120.0
110,"the coffee dripper",224.7,66.2
111,"the white cup",589.4,115.2
111,"the coffee dripper",224.7,172.8
112,"the white cup",589.4,121.9
112,"the coffee dripper",241.7,63.8
113,"the white cup",589.4,121.9
113,"the coffee dripper",241.7,73.9
114,"the white cup",589.4,114.2
114,"the coffee dripper",224.7,62.9
115,"the white cup",589.4,113.3
115,"the coffee dripper",224.7,63.8
116,"the white cup",589.4,120.0
116,"the coffee dripper",244.2,70.1
117,"the white cup",585.1,114.2
117,"the coffee dripper",241.7,73.9
118,"the white cup",585.1,120.0
118,"the coffee dripper",224.7,62.9
119,"the white cup",585.1,120.0
119,"the coffee dripper",224.7,62.9
120,"the white cup",587.7,114.2
120,"the coffee dripper",244.2,70.1
121,"the white cup",585.1,103.2
121,"the coffee dripper",244.2,70.1
122,"the white cup",589.4,103.2
122,"the coffee dripper",241.7,64.8
123,"the white cup",589.4,103.2
123,"the coffee dripper",244.2,199.2
124,"the white cup",589.4,99.8
124,"the coffee dripper",244.2,70.1
125,"the white cup",589.4,99.8
125,"the coffee dripper",241.7,72.5
126,"the white cup",589.4,99.8
126,"the coffee dripper",241.7,62.9
127,"the white cup",592.8,97.9
127,"the coffee dripper",241.7,63.8
128,"the white cup",589.4,94.1
128,"the coffee dripper",241.7,63.8
129,"the white cup",589.4,96.0
129,"the coffee dripper",244.2,63.8
130,"the white cup",589.4,94.1
130,"the coffee dripper",241.7,63.8
131,"the white cup",589.4,99.8
131,"the coffee dripper",224.7,63.8
132,"the white cup",589.4,99.8
132,"the coffee dripper",241.7,62.9
133,"the white cup",585.1,103.2
133,"the coffee dripper",241.7,63.8
134,"the white cup",589.4,103.2
134,"the coffee dripper",224.7,64.8
135,"the white cup",585.1,103.2
135,"the coffee dripper",241.7,70.1
136,"the white cup",585.1,99.8
136,"the coffee dripper",241.7,199.2
137,"the white cup",585.1,99.8
137,"the coffee dripper",241.7,72.5
138,"the white cup",581.7,99.8
138,"the coffee dripper",241.7,72.5
139,"the white cup",581.7,99.8
139,"the coffee dripper",224.7,72.5
140,"the white cup",564.8,103.2
140,"the coffee dripper",241.7,72.5
141,"the white cup",564.8,110.9
141,"the coffee dripper",224.7,64.8
142,"the white cup",563.9,103.2
142,"the coffee dripper",241.7,64.8
143,"the white cup",563.9,114.2
143,"the coffee dripper",241.7,187.2
144,"the white cup",559.7,99.8
144,"the coffee dripper",216.2,190.1
145,"the white cup",555.4,103.2
145,"the coffee dripper",224.7,72.5
146,"the white cup",555.4,103.2
146,"the coffee dripper",241.7,72.5
147,"the white cup",555.4,110.9
147,"the coffee dripper",224.7,72.5
148,"the white cup",555.4,110.9
148,"the coffee dripper",224.7,70.1
149,"the white cup",539.3,120.0
149,"the coffee dripper",241.7,72.5
150,"the white cup",539.3,110.9
150,"the coffee dripper",216.2,73.9
151,"the white cup",539.3,110.9
151,"the coffee dripper",224.7,73.9
152,"the white cup",539.3,110.9
152,"the coffee dripper",216.2,70.1
153,"the white cup",539.3,110.9
153,"the coffee dripper",216.2,72.5
154,"the white cup",539.3,114.2
154,"the coffee dripper",216.2,73.9
155,"the white cup",534.2,114.2
155,"the coffee dripper",224.7,73.9
156,"the white cup",534.2,114.2
156,"the coffee dripper",241.7,73.9
157,"the white cup",529.2,114.2
157,"the coffee dripper",241.7,73.9
158,"the white cup",539.3,110.9
158,"the coffee dripper",241.7,217.9
159,"the white cup",539.3,114.2
159,"the coffee dripper",241.7,64.8
160,"the white cup",539.3,114.2
160,"the coffee dripper",216.2,66.2
161,"the white cup",534.2,114.2
161,"the coffee dripper",216.2,70.1
162,"the white cup",534.2,114.2
162,"the coffee dripper",216.2,70.1
163,"the white cup",534.2,114.2
163,"the coffee dripper",241.7,217.9
164,"the white cup",529.2,114.2
164,"the coffee dripper",241.7,72.5
165,"the white cup",529.2,114.2
165,"the coffee dripper",241.7,72.5
166,"the white cup",525.8,110.9
166,"the coffee dripper",224.7,72.5
167,"the white cup",525.8,110.9
167,"the coffee dripper",224.7,73.9
168,"the white cup",521.5,110.9
168,"the coffee dripper",216.2,62.9
169,"the white cup",521.5,110.9
169,"the coffee dripper",216.2,66.2
170,"the white cup",513.0,121.9
170,"the coffee dripper",216.2,64.8
171,"the white cup",512.2,120.0
171,"the coffee dripper",224.7,66.2
172,"the white cup",513.0,121.9
172,"the coffee dripper",216.2,66.2
173,"the white cup",513.0,114.2
173,"the coffee dripper",224.7,73.9
174,"the white cup",505.4,121.9
174,"the coffee dripper",224.7,70.1
175,"the white cup",500.3,121.9
175,"the coffee dripper",224.7,70.1
176,"the white cup",500.3,121.9
176,"the coffee dripper",224.7,62.9
177,"the white cup",491.0,121.9
177,"the coffee dripper",241.7,66.2
178,"the white cup",491.0,120.0
178,"the coffee dripper",241.7,62.9
179,"the white cup",486.8,120.0
179,"the coffee dripper",241.7,62.9
180,"the white cup",479.1,110.9
180,"the coffee dripper",241.7,62.9
181,"the white cup",479.1,110.9
181,"the coffee dripper",241.7,62.9
182,"the white cup",479.1,103.2
182,"the coffee dripper",241.7,64.8
183,"the white cup",470.6,114.2
183,"the coffee dripper",241.7,66.2
184,"the white cup",470.6,103.2
184,"the coffee dripper",241.7,62.9
185,"the white cup",470.6,103.2
185,"the coffee dripper",241.7,62.9
186,"the white cup",470.6,103.2
186,"the coffee dripper",241.7,62.9
187,"the white cup",470.6,103.2
187,"the coffee dripper",241.7,62.9
188,"the white cup",470.6,103.2
188,"the coffee dripper",241.7,62.9
189,"the white cup",454.5,114.2
189,"the coffee dripper",241.7,66.2
190,"the white cup",454.5,114.2
190,"the coffee dripper",216.2,172.8
191,"the white cup",454.5,114.2
191,"the coffee dripper",216.2,172.8
192,"the white cup",454.5,103.2
192,"the coffee dripper",241.7,73.9
193,"the white cup",454.5,103.2
193,"the coffee dripper",241.7,199.2
194,"the white cup",449.4,103.2
194,"the coffee dripper",241.7,66.2
195,"the white cup",436.7,110.9
195,"the coffee dripper",241.7,66.2
196,"the white cup",436.7,103.2
196,"the coffee dripper",241.7,72.5
197,"the white cup",436.7,114.2
197,"the coffee dripper",241.7,70.1
198,"the white cup",436.7,103.2
198,"the coffee dripper",241.7,66.2
199,"the white cup",436.7,114.2
199,"the coffee dripper",241.7,73.9
200,"the white cup",436.7,110.9
200,"the coffee dripper",241.7,64.8
201,"the white cup",428.2,121.9
201,"the coffee dripper",241.7,64.8
202,"the white cup",428.2,121.9
202,"the coffee dripper",216.2,186.2
203,"the white cup",428.2,121.9
203,"the coffee dripper",200.1,169.9
204,"the white cup",428.2,124.8
204,"the coffee dripper",216.2,190.1
205,"the white cup",428.2,124.8
205,"the coffee dripper",250.2,64.8
206,"the white cup",428.2,124.8
206,"the coffee dripper",173.8,134.9
207,"the white cup",423.2,134.9
207,"the coffee dripper",241.7,66.2
208,"the white cup",423.2,138.2
208,"the coffee dripper",216.2,190.1
209,"the white cup",423.2,134.9
209,"the coffee dripper",200.1,177.1
210,"the white cup",423.2,134.9
210,"the coffee dripper",182.3,134.9
211,"the white cup",415.5,142.1
211,"the coffee dripper",241.7,63.8
212,"the white cup",415.5,144.0
212,"the coffee dripper",200.1,172.8
213,"the white cup",415.5,145.9
213,"the coffee dripper",200.1,172.8
214,"the white cup",415.5,148.8
214,"the coffee dripper",224.7,62.9
215,"the white cup",411.3,162.2
215,"the coffee dripper",224.7,64.8
216,"the white cup",411.3,162.2
216,"the coffee dripper",241.7,62.9
217,"the white cup",411.3,169.9
217,"the coffee dripper",241.7,64.8
218,"the white cup",411.3,169.9
218,"the coffee dripper",241.7,62.9
219,"the white cup",411.3,172.8
219,"the coffee dripper",241.7,62.9
220,"the white cup",411.3,172.8
220,"the coffee dripper",241.7,64.8
221,"the white cup",407.0,172.8
221,"the coffee dripper",241.7,64.8
222,"the white cup",394.3,175.2
222,"the coffee dripper",241.7,62.9
223,"the white cup",394.3,172.8
223,"the coffee dripper",241.7,62.9
224,"the white cup",394.3,177.1
224,"the coffee dripper",250.2,64.8
225,"the white cup",394.3,177.1
225,"the coffee dripper",250.2,64.8
226,"the white cup",394.3,177.1
226,"the coffee dripper",254.4,55.2
227,"the white cup",394.3,182.9
227,"the coffee dripper",254.4,55.2
228,"the white cup",394.3,177.1
228,"the coffee dripper",253.6,55.2
229,"the white cup",394.3,177.1
229,"the coffee dripper",258.6,60.0
230,"the white cup",394.3,177.1
230,"the coffee dripper",258.6,55.2
231,"the white cup",385.8,182.9
231,"the coffee dripper",267.1,55.2
232,"the white cup",394.3,182.9
232,"the coffee dripper",267.1,55.2
233,"the white cup",390.1,176.2
233,"the coffee dripper",267.1,55.2
234,"the white cup",394.3,182.9
234,"the coffee dripper",275.6,49.9
235,"the white cup",394.3,182.9
235,"the coffee dripper",267.1,160.8
236,"the white cup",394.3,182.9
236,"the coffee dripper",267.1,166.1
237,"the white cup",394.3,182.9
237,"the coffee dripper",267.1,160.8
238,"the white cup",394.3,182.9
238,"the coffee dripper",267.1,166.1
239,"the white cup",394.3,184.8
239,"the coffee dripper",301.0,49.9
240,"the white cup",394.3,183.8
240,"the coffee dripper",267.1,160.8
241,"the white cup",394.3,182.9
241,"the coffee dripper",267.1,144.0
242,"the white cup",394.3,182.9
242,"the coffee dripper",267.1,142.1
243,"the white cup",394.3,182.9
243,"the coffee dripper",301.0,49.9
244,"the white cup",394.3,182.9
244,"the coffee dripper",301.0,49.9
245,"the white cup",394.3,186.2
245,"the coffee dripper",301.0,49.9
246,"the white cup",394.3,182.9
246,"the coffee dripper",301.0,49.9
247,"the white cup",394.3,187.2
247,"the coffee dripper",301.0,49.9
248,"the white cup",394.3,182.9
248,"the coffee dripper",267.1,142.1
249,"the white cup",394.3,185.3
249,"the coffee dripper",267.1,134.9
250,"the white cup",394.3,187.2
250,"the coffee dripper",301.0,49.9
251,"the white cup",394.3,187.2
251,"the coffee dripper",309.5,49.9
252,"the white cup",394.3,187.2
252,"the coffee dripper",309.5,48.0
253,"the white cup",394.3,187.2
253,"the coffee dripper",309.5,49.9
254,"the white cup",394.3,187.2
254,"the coffee dripper",309.5,49.9
255,"the white cup",394.3,187.2
255,"the coffee dripper",301.0,49.9
256,"the white cup",394.3,187.2
256,"the coffee dripper",301.0,49.9
257,"the white cup",394.3,187.2
257,"the coffee dripper",301.0,51.8
258,"the white cup",394.3,187.2
258,"the coffee dripper",301.0,49.9
259,"the white cup",394.3,187.2
259,"the coffee dripper",301.0,49.9
260,"the white cup",394.3,182.9
260,"the coffee dripper",301.0,172.8
261,"the white cup",394.3,184.8
261,"the coffee dripper",309.5,49.9
262,"the white cup",394.3,187.2
262,"the coffee dripper",301.0,49.9
263,"the white cup",394.3,193.9
263,"the coffee dripper",318.0,48.0
264,"the white cup",394.3,187.2
264,"the coffee dripper",301.0,142.1
265,"the white cup",394.3,187.2
265,"the coffee dripper",301.0,144.0
266,"the white cup",394.3,187.2
266,"the coffee dripper",326.5,48.0
267,"the white cup",394.3,187.2
267,"the coffee dripper",326.5,48.0
268,"the white cup",394.3,184.8
268,"the coffee dripper",327.3,49.9
269,"the white cup",394.3,187.2
269,"the coffee dripper",326.5,48.0
270,"the white cup",394.3,187.2
270,"the coffee dripper",301.0,49.9
271,"the white cup",394.3,184.8
271,"the coffee dripper",301.0,145.9
272,"the white cup",394.3,187.2
272,"the coffee dripper",326.5,49.9
273,"the white cup",394.3,190.1
273,"the coffee dripper",326.5,49.9
274,"the white cup",394.3,184.8
274,"the coffee dripper",326.5,49.9
275,"the white cup",394.3,182.9
275,"the coffee dripper",335.0,49.9
276,"the white cup",394.3,187.2
276,"the coffee dripper",326.5,49.9
277,"the white cup",394.3,184.8
277,"the coffee dripper",326.5,49.9
278,"the white cup",394.3,193.9
278,"the coffee dripper",326.5,49.9
279,"the white cup",394.3,187.2
279,"the coffee dripper",326.5,49.9
280,"the white cup",394.3,187.2
280,"the coffee dripper",326.5,49.9
281,"the white cup",394.3,187.2
281,"the coffee dripper",326.5,49.9
282,"the white cup",402.8,182.9
282,"the coffee dripper",301.0,49.9
283,"the white cup",402.8,184.8
283,"the coffee dripper",335.0,49.9
284,"the white cup",394.3,184.8
284,"the coffee dripper",326.5,49.9
285,"the white cup",394.3,184.8
285,"the coffee dripper",326.5,49.9
286,"the white cup",402.8,172.8
286,"the coffee dripper",335.0,49.9
287,"the white cup",394.3,172.8
287,"the coffee dripper",327.3,49.9
288,"the white cup",402.8,177.1
288,"the coffee dripper",326.5,49.9
289,"the white cup",402.8,177.1
289,"the coffee dripper",326.5,49.9
290,"the white cup",402.8,176.2
290,"the coffee dripper",326.5,49.9
291,"the white cup",406.2,172.8
291,"the coffee dripper",335.0,49.9
292,"the white cup",402.8,176.2
292,"the coffee dripper",326.5,49.9
293,"the white cup",406.2,177.1
293,"the coffee dripper",301.0,49.9
294,"the white cup",411.3,184.8
294,"the coffee dripper",301.0,49.9
295,"the white cup",406.2,184.8
295,"the coffee dripper",326.5,49.9
296,"the white cup",402.8,177.1
296,"the coffee dripper",335.8,49.9
297,"the white cup",406.2,177.1
297,"the coffee dripper",326.5,49.9
298,"the white cup",406.2,184.8
298,"the coffee dripper",326.5,49.9
299,"the white cup",402.8,184.8
299,"the coffee dripper",326.5,49.9
300,"the white cup",402.8,184.8
300,"the coffee dripper",326.5,49.9
301,"the white cup",394.3,182.9
301,"the coffee dripper",326.5,48.0
302,"the white cup",394.3,182.9
302,"the coffee dripper",335.0,49.9
303,"the white cup",394.3,172.8
303,"the coffee dripper",330.7,49.9
304,"the white cup",394.3,172.8
304,"the coffee dripper",326.5,49.9
305,"the white cup",385.8,172.8
305,"the coffee dripper",335.0,49.9
306,"the white cup",335.0,49.9
306,"the coffee dripper",335.0,49.9
307,"the white cup",335.0,49.9
307,"the coffee dripper",335.8,51.8
308,"the white cup",385.8,169.9
308,"the coffee dripper",279.8,121.9
309,"the white cup",385.8,169.9
309,"the coffee dripper",301.0,136.8
310,"the white cup",385.8,169.9
310,"the coffee dripper",335.0,49.9
311,"the white cup",335.0,48.0
311,"the coffee dripper",326.5,49.9
312,"the white cup",335.0,49.9
312,"the coffee dripper",335.8,49.9
313,"the white cup",335.0,49.9
313,"the coffee dripper",335.8,49.9
314,"the white cup",335.0,50.9
314,"the coffee dripper",335.0,49.9
315,"the white cup",335.0,49.9
315,"the coffee dripper",301.0,172.8
316,"the white cup",326.5,48.0
316,"the coffee dripper",335.0,51.8
317,"the white cup",335.0,49.9
317,"the coffee dripper",335.0,49.9
318,"the white cup",385.8,159.8
318,"the coffee dripper",335.0,51.8
319,"the white cup",385.8,159.8
319,"the coffee dripper",335.0,49.9
320,"the white cup",385.8,162.2
320,"the coffee dripper",284.1,138.2
321,"the white cup",385.8,156.0
321,"the coffee dripper",335.0,51.8
322,"the white cup",385.8,159.8
322,"the coffee dripper",335.0,49.9
323,"the white cup",385.8,159.8
323,"the coffee dripper",335.0,48.0
324,"the white cup",335.0,49.9
324,"the coffee dripper",335.0,48.0
325,"the white cup",339.2,48.0
325,"the coffee dripper",333.3,49.9
326,"the white cup",330.7,49.9
326,"the coffee dripper",335.0,48.0
327,"the white cup",335.0,48.0
327,"the coffee dripper",335.0,48.0
328,"the white cup",326.5,48.0
328,"the coffee dripper",335.0,49.9
329,"the white cup",335.0,48.0
329,"the coffee dripper",335.0,48.0
330,"the white cup",335.0,48.0
330,"the coffee dripper",335.0,49.9
331,"the white cup",339.2,48.0
331,"the coffee dripper",335.0,48.0
332,"the white cup",330.7,48.0
332,"the coffee dripper",335.0,49.9
333,"the white cup",326.5,49.9
333,"the coffee dripper",335.0,49.9
334,"the white cup",385.8,144.0
334,"the coffee dripper",333.3,48.0
335,"the white cup",330.7,48.0
335,"the coffee dripper",335.0,48.0
336,"the white cup",385.8,146.9
336,"the coffee dripper",335.0,49.9
337,"the white cup",385.8,144.0
337,"the coffee dripper",335.0,49.9
338,"the white cup",385.8,144.0
338,"the coffee dripper",335.0,49.9
339,"the white cup",385.8,144.0
339,"the coffee dripper",326.5,49.9
340,"the white cup",385.8,144.0
340,"the coffee dripper",326.5,48.0
341,"the white cup",385.8,144.0
341,"the coffee dripper",326.5,48.0
342,"the white cup",385.8,144.0
342,"the coffee dripper",326.5,48.0
343,"the white cup",326.5,48.0
343,"the coffee dripper",326.5,49.9
344,"the white cup",385.8,145.9
344,"the coffee dripper",335.0,49.9
345,"the white cup",385.8,146.9
345,"the coffee dripper",335.0,49.9
346,"the white cup",385.8,144.0
346,"the coffee dripper",335.0,49.9
347,"the white cup",385.8,146.9
347,"the coffee dripper",335.0,49.9
348,"the white cup",385.8,144.0
348,"the coffee dripper",284.1,138.2
349,"the white cup",339.2,49.9
349,"the coffee dripper",335.0,49.9
350,"the white cup",385.8,145.9
350,"the coffee dripper",292.6,145.9
351,"the white cup",385.8,146.9
351,"the coffee dripper",301.0,145.9
352,"the white cup",385.8,156.0
352,"the coffee dripper",335.0,49.9
353,"the white cup",385.8,148.8
353,"the coffee dripper",335.0,49.9
354,"the white cup",394.3,145.9
354,"the coffee dripper",301.0,49.9
355,"the white cup",385.8,146.9
355,"the coffee dripper",292.6,138.2
356,"the white cup",385.8,146.9
356,"the coffee dripper",335.0,48.0
357,"the white cup",385.8,145.9
357,"the coffee dripper",335.8,49.9
358,"the white cup",385.8,146.9
358,"the coffee dripper",335.0,49.9
359,"the white cup",385.8,146.9
359,"the coffee dripper",335.0,49.9
360,"the white cup",385.8,144.0
360,"the coffee dripper",284.1,138.2
361,"the white cup",385.8,145.9
361,"the coffee dripper",284.1,138.2
362,"the white cup",385.8,145.9
362,"the coffee dripper",301.0,145.9
363,"the white cup",385.8,145.9
363,"the coffee dripper",301.0,145.9
364,"the white cup",335.0,48.0
364,"the coffee dripper",335.0,49.9
365,"the white cup",326.5,48.0
365,"the coffee dripper",284.1,136.8
366,"the white cup",385.8,146.9
366,"the coffee dripper",301.0,145.9
367,"the white cup",385.8,146.9
367,"the coffee dripper",301.0,144.0
368,"the white cup",385.8,145.9
368,"the coffee dripper",301.0,144.0
369,"the white cup",385.8,145.9
369,"the coffee dripper",301.0,144.0
370,"the white cup",339.2,48.0
370,"the coffee dripper",335.0,48.0
371,"the white cup",339.2,49.9
371,"the coffee dripper",335.8,48.0
372,"the white cup",339.2,49.9
372,"the coffee dripper",338.4,49.9
373,"the white cup",343.4,49.9
373,"the coffee dripper",338.4,49.9
374,"the white cup",343.4,48.0
374,"the coffee dripper",343.4,48.0
375,"the white cup",347.7,48.0
375,"the coffee dripper",343.4,48.0
376,"the white cup",351.9,48.0
376,"the coffee dripper",343.4,49.9
377,"the white cup",351.9,49.9
377,"the coffee dripper",346.0,49.9
378,"the white cup",351.9,48.0
378,"the coffee dripper",343.4,48.0
379,"the white cup",351.9,48.0
379,"the coffee dripper",338.4,48.0
380,"the white cup",351.9,48.0
380,"the coffee dripper",343.4,48.0
381,"the white cup",351.9,48.0
381,"the coffee dripper",343.4,48.0
382,"the white cup",351.9,48.0
382,"the coffee dripper",351.9,48.0
383,"the white cup",351.9,48.0
383,"the coffee dripper",351.9,48.0
384,"the white cup",385.8,159.8
384,"the coffee dripper",351.9,49.9
385,"the white cup",394.3,159.8
385,"the coffee dripper",351.9,49.9
386,"the white cup",394.3,159.8
386,"the coffee dripper",356.2,48.0
387,"the white cup",385.8,151.2
387,"the coffee dripper",351.9,48.0
388,"the white cup",363.8,51.8
388,"the coffee dripper",351.9,49.9
389,"the white cup",363.8,49.9
389,"the coffee dripper",360.4,48.0
390,"the white cup",394.3,159.8
390,"the coffee dripper",351.9,48.0
391,"the white cup",394.3,159.8
391,"the coffee dripper",360.4,49.9
392,"the white cup",394.3,159.8
392,"the coffee dripper",360.4,49.9
393,"the white cup",394.3,159.8
393,"the coffee dripper",360.4,48.0
394,"the white cup",363.8,49.9
394,"the coffee dripper",360.4,48.0
395,"the white cup",363.8,49.9
395,"the coffee dripper",360.4,48.0
396,"the white cup",360.4,48.0
396,"the coffee dripper",360.4,48.0
397,"the white cup",360.4,48.0
397,"the coffee dripper",360.4,48.0
398,"the white cup",394.3,148.8
398,"the coffee dripper",360.4,48.0
